model,over_refusal_rate_ksafeguard,over_refusal_rate_gptoss
YanoljaNEXT-EEVE-Instruct-10.8B,0.056,0.032
A.X-4.0-Light,0.059,0.05
llama-3-Korean-Bllossom-8B,0.15,0.114
EXAONE-4.0-32B,0.154,0.124
Midm-2.0-Base-Instruct,0.166,0.124
kanana-2-30b-a3b-instruct-2601,0.249,0.205
solar-pro-preview-instruct,0.258,0.165
HyperCLOVAX-SEED-Text-Instruct-1.5B,0.322,0.252
Llama-VARCO-8B-Instruct,0.352,0.295
